scorer,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000
bodyparts,head,head,head,spine 1,spine 1,spine 1,spine 2,spine 2,spine 2,spine 3,spine 3,spine 3,spine 4,spine 4,spine 4,base,base,base,tail 25,tail 25,tail 25,tail 50,tail 50,tail 50,tail 75,tail 75,tail 75,tail 100,tail 100,tail 100,lForepaw,lForepaw,lForepaw,rForepaw,rForepaw,rForepaw,lHindpaw,lHindpaw,lHindpaw,lHindfingers,lHindfingers,lHindfingers,rHindpaw,rHindpaw,rHindpaw,rHindfingers,rHindfingers,rHindfingers
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,477.520263671875,79.53118133544922,0.9999996423721313,499.4384765625,82.14417266845703,1.0,516.2227783203125,83.69111633300781,0.9999999403953552,532.7017211914062,82.22126770019531,0.9999998807907104,551.110595703125,81.53054809570312,0.9999993443489075,569.2057495117188,84.03878784179688,1.0,588.8111572265625,84.46060943603516,0.9999993443489075,609.9752807617188,84.31718444824219,0.9999865889549255,628.8626708984375,85.6542739868164,0.9998388290405273,645.8497924804688,88.4342269897461,0.9972350597381592,517.5032348632812,75.68702697753906,0.9999839067459106,498.5506286621094,94.71549224853516,0.9999997019767761,562.8349609375,66.38224792480469,0.9999051690101624,565.1304931640625,63.03528594970703,0.9999634027481079,555.9774169921875,97.24533081054688,0.9998870491981506,550.1504516601562,101.46884155273438,0.9985107183456421
1,477.520263671875,79.53118133544922,0.9999998211860657,499.4384765625,82.14417266845703,1.0,516.2227783203125,83.8156967163086,1.0,532.7017211914062,82.58719635009766,0.9999999403953552,551.110595703125,82.19275665283203,0.9999995827674866,569.2057495117188,84.45227813720703,1.0,588.8111572265625,85.06131744384766,0.9999997019767761,609.9752807617188,84.40354919433594,0.9999767541885376,628.8626708984375,85.66292572021484,0.9998704791069031,645.8497924804688,88.43952941894531,0.9987147450447083,517.5032348632812,75.68702697753906,0.9999877214431763,498.5506286621094,94.71549224853516,0.9999997615814209,562.8349609375,66.55791473388672,0.9999354481697083,565.1304931640625,63.50386428833008,0.9999415874481201,555.9774169921875,97.24533081054688,0.9999467730522156,550.1504516601562,101.62828063964844,0.9993002414703369
2,477.520263671875,79.53118133544922,0.9999998807907104,499.4384765625,82.14417266845703,1.0,516.2227783203125,83.96882629394531,1.0,532.7017211914062,83.12930297851562,0.9999999403953552,551.110595703125,82.3385238647461,0.9999998807907104,569.2057495117188,84.8084716796875,0.9999998807907104,588.8111572265625,85.18447875976562,0.9999996423721313,609.9752807617188,85.0133056640625,0.9999743700027466,628.8626708984375,85.7801513671875,0.9998664855957031,645.8497924804688,88.59333038330078,0.9988778829574585,517.5416870117188,75.68702697753906,0.9999950528144836,498.5506286621094,94.71549224853516,0.9999998211860657,562.8349609375,66.57205963134766,0.9999974966049194,565.1304931640625,63.50386428833008,0.9999877214431763,555.9774169921875,97.24533081054688,0.9999895095825195,550.1504516601562,101.65634155273438,0.9998927116394043
3,476.51202392578125,78.67696380615234,0.9999998211860657,498.2772216796875,81.96553039550781,1.0,515.2890014648438,84.13417053222656,1.0,531.7940063476562,83.42363739013672,1.0,550.208740234375,82.35362243652344,0.9999999403953552,568.73388671875,84.8084716796875,0.9999999403953552,588.1378784179688,85.58421325683594,0.9999995827674866,609.1412353515625,85.2755126953125,0.9999885559082031,627.39599609375,85.97517395019531,0.9998092651367188,644.3961181640625,89.31979370117188,0.9989489316940308,517.5032348632812,75.64431762695312,0.9999946355819702,496.41668701171875,94.0442123413086,0.9999996423721313,560.5792236328125,66.57205963134766,0.9999895691871643,561.7430419921875,63.50386428833008,0.9999671578407288,555.865478515625,97.12313079833984,0.99998939037323,549.9473876953125,101.68314361572266,0.9999241828918457
4,475.4873046875,78.62396240234375,0.9999998211860657,497.495361328125,81.71028137207031,0.9999999403953552,514.7151489257812,84.14745330810547,0.9999998807907104,530.745361328125,83.68950653076172,0.9999999403953552,549.0226440429688,82.45772552490234,1.0,567.231689453125,84.8084716796875,1.0,587.0616455078125,85.59268951416016,0.999999463558197,607.5481567382812,85.3036880493164,0.9999957084655762,625.3809204101562,86.28313446044922,0.9995428919792175,642.3232421875,90.01603698730469,0.9991312026977539,517.3901977539062,75.61761474609375,0.9999960660934448,495.603759765625,93.40214538574219,0.9999997615814209,558.167724609375,66.8292465209961,0.9999849200248718,557.0427856445312,63.50386428833008,0.9999885559082031,555.7716064453125,97.12313079833984,0.9999957084655762,549.908203125,101.77193450927734,0.9999772310256958
5,474.3028259277344,78.53072357177734,0.9999998807907104,496.6081237792969,81.64447021484375,0.9999998807907104,514.0548095703125,84.3606185913086,0.9999999403953552,530.0740356445312,83.77428436279297,0.9999999403953552,548.4083251953125,82.50113677978516,1.0,566.9010620117188,84.76326751708984,1.0,586.5546875,85.7480239868164,0.999999463558197,607.4738159179688,85.38611602783203,0.9999963641166687,625.3013305664062,87.88024139404297,0.9991409778594971,642.3232421875,92.01112365722656,0.9996557831764221,517.214599609375,75.61761474609375,0.9999971389770508,495.2640686035156,93.40214538574219,0.9999998211860657,555.9070434570312,66.83247375488281,0.9999769330024719,553.4771728515625,64.81597137451172,0.9999242424964905,555.3314819335938,97.12313079833984,0.9999963045120239,549.2022094726562,102.1501235961914,0.9999827742576599
6,473.4502868652344,78.21629333496094,0.9999998807907104,496.35443115234375,81.64447021484375,0.9999997615814209,513.8853759765625,84.41578674316406,0.9999998807907104,529.5714721679688,83.86226654052734,0.9999997615814209,547.655029296875,82.53351593017578,0.9999998807907104,566.2691040039062,84.02015686035156,1.0,586.4287719726562,85.77458953857422,0.999999463558197,607.3975219726562,85.7371826171875,0.9999947547912598,625.2013549804688,88.39432525634766,0.9992378354072571,642.3232421875,94.10579681396484,0.9994279146194458,517.1764526367188,75.61761474609375,0.9999987483024597,493.9966735839844,93.40214538574219,0.9999999403953552,553.9443359375,67.1761245727539,0.9999973773956299,548.705322265625,65.15418243408203,0.999992847442627,555.1625366210938,97.46768951416016,0.9999986886978149,548.6466064453125,102.28112030029297,0.9999920725822449
7,473.2614440917969,78.21012878417969,0.9999998807907104,496.3241271972656,81.51824951171875,0.9999995231628418,513.8070068359375,84.41578674316406,0.9999998807907104,529.4868774414062,84.1058578491211,0.9999996423721313,547.5134887695312,82.6937255859375,0.9999999403953552,565.5848388671875,83.83648681640625,0.9999999403953552,586.3226318359375,85.88015747070312,0.9999993443489075,607.0682373046875,86.54762268066406,0.9999926090240479,624.6942138671875,89.91626739501953,0.9993504285812378,643.1348876953125,95.87073516845703,0.9987292289733887,516.9676513671875,75.67892456054688,0.999999463558197,492.4925842285156,93.40214538574219,0.9999999403953552,551.1397094726562,67.91797637939453,0.9999994039535522,545.4903564453125,66.58061981201172,0.9999992251396179,554.9971923828125,97.46768951416016,0.9999990463256836,548.6466064453125,103.00299072265625,0.999991774559021
